index,dataset,model,dropout,optim,lr,lr_scheduler,init,transform,np,ns,folds,epochs,done,valid,train_loss,validation_loss,top_proba-mean-train-auc,top_proba-mean-validation-auc,top_proba-std-train-auc,top_proba-std-validation-auc
46ec3fccdc,cifar10,resnet18,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,np=0.07,ns=0.6,3,15,True,True,0.57 0.577 0.568,0.652 0.656 0.648,0.6864367363146607,0.6183506429618186,0.48580347086822023,0.4485643431009976
47aad49799,cifar10,resnet34,drp=0,adam,lr=0.001,none,pretrain,default,np=0.0,ns=0.0,3,15,True,False,0.126 0.111 0.081,0.375 0.366 0.398,,,,
4cd3acf084,cifar10,xception,drp=0.3,adam,lr=0.001,none,pretrain,intermediate,np=0.07,ns=0.2,3,15,True,True,0.774 0.681 0.641,0.779 0.7 0.667,0.657076549496681,0.6306350644272685,0.49783221986118215,0.47511628427132546
4df8301a07,cifar10,xception,drp=0,adam,lr=0.001,none,pretrain,intermediate,np=0.07,ns=0.2,3,15,True,True,0.616 0.621 0.586,0.652 0.66 0.632,0.6757400973087756,0.640055649941893,0.46572803180346706,0.4653795333519642
517ed8cc4f,cifar10,resnet34,drp=0,adam,lr=0.0001,none,pretrain,intermediate,np=0.13,ns=0.2,3,15,True,True,0.682 0.666 0.673,0.808 0.792 0.805,0.7511980442086649,0.660823632183908,0.47969144473916886,0.433917557913351
5231c43537,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.105 0.113 0.105,0.474 0.493 0.481,,,,
529086a09e,cifar10,resnet34,drp=0,sgd,lr=0.01,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.185 0.191 0.193,0.506 0.509 0.504,,,,
52a3424093,cifar10,xception,drp=0.3,adam,lr=0.001,none,pretrain,intermediate,np=0.03,ns=0.0,3,15,True,True,0.457 0.516 0.462,0.502 0.544 0.551,0.5858215596107363,0.5462059038643612,0.48357952695003525,0.49244752053405755
54e9e522fe,cifar10,resnet18,drp=0,adam,lr=0.0001,none,pretrain,intermediate,np=0.03,ns=0.0,3,15,True,True,0.437 0.443 0.441,0.53 0.533 0.532,0.6405000162566528,0.5471102458391128,0.4603900176223237,0.4769200777422413
5618800d3d,cifar10,resnet34,drp=0,sgd,lr=0.01,none,pretrain,default,np=0.0,ns=0.0,3,15,True,False,0.226 0.116 0.1,0.467 0.34 0.365,,,,
567198dce0,cifar10,xception,drp=0.3,adam,lr=0.001,none,pretrain,intermediate,np=0.13,ns=0.2,3,15,True,True,0.802 0.869 0.942,0.839 0.886 0.946,0.6936208629531389,0.662969890362511,0.513710984969054,0.4733706366047746
59bd19dd56,cifar10,resnet18,drp=0.3,sgd,lr=0.1,none,kaiming_normal,intermediate,np=0.0,ns=0.0,3,15,True,False,1.024 0.981 0.996,1.03 0.977 0.978,,,,
5a0c168f23,cifar10,xception,drp=0,sgd,lr=0.01,none,pretrain,intermediate,np=0.07,ns=0.0,3,15,True,True,0.956 0.601 0.688,0.938 0.672 0.744,0.6769360664133118,0.6141159496214423,0.515958829497866,0.4833730131599726
5e66b8b873,cifar10,resnet18,drp=0,adam,lr=0.0001,none,pretrain,default,np=0.0,ns=0.0,3,15,True,False,0.048 0.059 0.055,0.339 0.34 0.352,,,,
5e94a8c555,cifar10,resnet34,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,np=0.03,ns=0.6,3,15,True,True,0.407 0.408 0.403,0.485 0.476 0.474,0.6218372853664629,0.5446192526489528,0.4653210718240223,0.4842292840018224
60883c95e3,cifar10,xception,drp=0,adam,lr=0.0001,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.117 0.109 0.11,0.821 0.821 0.762,,,,
632a70fc13,cifar10,xception,drp=0,adam,lr=0.001,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.134 0.132 0.132,0.477 0.483 0.494,,,,
6419d686b8,cifar10,xception,drp=0,adam,lr=0.001,none,pretrain,intermediate,np=0.07,ns=0.0,3,15,True,True,0.596 0.695 0.61,0.646 0.717 0.649,0.6662450940199107,0.6332784265013619,0.4855434807014183,0.4656476185987539
64b03d2bb7,cifar10,resnet18,drp=0,sgd,lr=0.1,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,False,1.044 1.051 1.052,1.028 1.075 1.087,,,,
64b9105b6c,cifar10,resnet18,drp=0,adam,lr=0.001,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,False,0.427 0.442 0.431,0.453 0.481 0.478,,,,
664e350628,cifar10,resnet18,drp=0,adam,lr=0.0001,none,pretrain,intermediate,np=0.07,ns=0.0,3,15,True,True,0.574 0.576 0.586,0.682 0.679 0.675,0.7057666525324013,0.6234544639441969,0.4711041828844446,0.4474444533371726
66aa101a05,cifar10,xception,drp=0,adam,lr=0.001,none,pretrain,intermediate,np=0.13,ns=0.2,3,15,True,True,0.799 0.81 0.814,0.84 0.837 0.84,0.7033079133510167,0.670746433244916,0.4946457683465959,0.4640184014146773
6895137601,cifar10,xception,drp=0.3,adam,lr=0.001,none,pretrain,intermediate,np=0.07,ns=0.6,3,15,True,True,0.575 0.573 0.584,0.611 0.615 0.616,0.6608675145349094,0.6362591359338213,0.47052174288578597,0.46313663414823353
68c10a5a8f,cifar10,xception,drp=0,adam,lr=0.001,none,pretrain,default,np=0.0,ns=0.0,3,15,True,False,0.062 0.07 0.069,0.307 0.289 0.298,,,,
68f9366f10,cifar10,resnet18,drp=0,adam,lr=0.0001,none,pretrain,intermediate,np=0.13,ns=0.2,3,15,True,True,0.736 0.739 0.732,0.848 0.851 0.843,0.7377504456233422,0.6557443218390804,0.4966377931034483,0.44204333156498676
6aabe2494c,cifar10,xception,drp=0,adam,lr=0.001,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,True,0.295 0.303 0.286,0.334 0.345 0.334,,,,
6b078d0c77,cifar10,resnet18,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,np=0.03,ns=0.6,3,15,True,True,0.443 0.454 0.448,0.519 0.517 0.519,0.614085255718384,0.5395008831210453,0.466790478527343,0.48800291712795585
6cb2ad3d44,cifar10,resnet18,drp=0,sgd,lr=0.01,none,pretrain,default,np=0.0,ns=0.0,3,15,True,False,0.112 0.114 0.124,0.359 0.34 0.346,,,,
6e9df0f756,cifar10,resnet18,drp=0.3,sgd,lr=0.01,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,False,0.554 0.738 0.929,0.556 0.731 0.923,,,,
711428fa59,cifar10,resnet18,drp=0,adam,lr=0.0001,none,pretrain,intermediate,np=0.07,ns=0.6,3,15,True,True,0.544 0.548 0.543,0.637 0.637 0.635,0.698343012865035,0.6209812427623751,0.4811564791278269,0.45062883435022216
71ae231740,cifar10,xception,drp=0.3,sgd,lr=0.01,none,pretrain,intermediate,np=0.03,ns=0.6,3,15,True,True,0.439 0.448 0.556,0.498 0.497 0.581,0.5955216752883166,0.5374412632524088,0.48604014538004725,0.49335049878430326
72c73bbe00,cifar10,xception,drp=0,adam,lr=0.001,none,pretrain,intermediate,np=0.07,ns=0.6,3,15,True,True,0.558 0.579 0.614,0.602 0.619 0.638,0.6556360765363596,0.6277156540806952,0.4825282882824302,0.475785528970885
765ca15a19,cifar10,xception,drp=0.3,sgd,lr=0.01,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.977 1.051 0.86,0.996 1.074 0.902,,,,
7665f02e6c,cifar10,xception,drp=0.3,adam,lr=0.001,none,pretrain,default,np=0.0,ns=0.0,3,15,True,False,0.073 0.067 0.071,0.287 0.294 0.317,,,,
76df14b646,cifar10,xception,drp=0,sgd,lr=0.1,none,kaiming_normal,intermediate,np=0.0,ns=0.0,3,15,True,False,1.021 1.135 1.126,1.023 1.14 1.099,,,,
77c60b9902,cifar10,resnet34,drp=0,adam,lr=0.0001,none,pretrain,intermediate,np=0.13,ns=0.6,3,15,True,True,0.591 0.588 0.604,0.696 0.698 0.706,0.7386843831542584,0.6588302327629483,0.5022374081189106,0.4411422298520249
792e94c606,cifar10,resnet34,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,np=0.07,ns=0.0,3,15,True,True,0.567 0.565 0.583,0.66 0.647 0.66,0.7001530820522555,0.6265737145376058,0.46308129690325983,0.4588065743197666
79801df55d,cifar10,xception,drp=0.3,sgd,lr=0.01,none,pretrain,intermediate,np=0.03,ns=0.2,3,15,True,True,0.779 0.477 0.809,0.76 0.581 0.855,0.5983332010963074,0.5435234469168624,0.47910067192842215,0.4850943309277712
7b3804aca9,cifar10,xception,drp=0.3,adam,lr=0.001,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,True,0.302 0.315 0.306,0.337 0.338 0.349,,,,
7d96e99053,cifar10,resnet34,drp=0,adam,lr=0.0001,none,pretrain,intermediate,np=0.13,ns=0.0,3,15,True,True,0.692 0.709 0.698,0.825 0.826 0.812,0.742895138526634,0.65862507825555,0.479540388988601,0.4440548604843677
7edc07a9f8,cifar10,xception,drp=0,sgd,lr=0.01,none,pretrain,intermediate,np=0.13,ns=0.6,3,15,True,True,0.689 0.833 0.685,0.74 0.844 0.748,0.7111578331105988,0.6603282292145902,0.5330508498788757,0.47545610572999714
827315ce4b,cifar10,resnet34,drp=0,sgd,lr=0.1,none,pretrain,default,np=0.0,ns=0.0,3,15,True,False,0.879 0.775 0.779,0.922 0.831 0.873,,,,
85d9c1144e,cifar10,xception,drp=0.3,adam,lr=0.001,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.131 0.147 0.124,0.489 0.523 0.454,,,,
87245f6ca1,cifar10,xception,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,False,0.267 0.281 0.26,0.404 0.366 0.365,,,,
8820110175,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,intermediate,np=0.0,ns=0.0,3,15,True,False,0.603 0.593 0.598,0.625 0.616 0.614,,,,
88aa73590f,cifar10,xception,drp=0,sgd,lr=0.01,none,pretrain,intermediate,np=0.07,ns=0.2,3,15,True,True,0.604 0.596 0.86,0.675 0.658 0.924,0.6925537547329489,0.6316686045225715,0.47410295077398207,0.463791382525908
88bd086b8f,cifar10,xception,drp=0,adam,lr=0.0001,none,pretrain,default,np=0.0,ns=0.0,3,15,True,False,0.045 0.06 0.058,0.363 0.441 0.378,,,,
88d0fba512,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,False,0.453 0.46 0.463,0.478 0.48 0.496,,,,
88f2f7e1f2,cifar10,xception,drp=0,sgd,lr=0.01,none,pretrain,intermediate,np=0.13,ns=0.0,3,15,True,True,1.125 0.96 0.972,1.193 0.98 0.984,0.6966568823141948,0.6583704359997407,0.5487955021379365,0.4918803490920146
8ba8b9ac11,cifar10,xception,drp=0.3,adam,lr=0.001,none,pretrain,intermediate,np=0.03,ns=0.2,3,15,True,True,0.454 0.466 0.497,0.498 0.497 0.529,0.5876138767610751,0.548608223912637,0.47735512914135925,0.48010379124747077
90b5963a7a,cifar10,resnet18,drp=0.3,sgd,lr=0.1,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.706 0.699 0.684,0.803 0.762 0.79,,,,
943c3445b7,cifar10,resnet34,drp=0,sgd,lr=0.1,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,False,1.044 1.035 1.065,1.037 1.005 1.18,,,,
94e40d3557,cifar10,resnet34,drp=0,adam,lr=0.0001,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,True,0.257 0.265 0.262,0.339 0.342 0.371,,,,
95da3128c6,cifar10,resnet18,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,np=0.13,ns=0.2,3,15,True,True,0.769 0.782 0.786,0.854 0.867 0.861,0.7260833404067197,0.654795160035367,0.5039416304155615,0.44550781255526084
9888c29598,cifar10,xception,drp=0,adam,lr=0.001,none,pretrain,intermediate,np=0.13,ns=0.0,3,15,True,True,0.803 0.828 0.797,0.841 0.86 0.837,0.7064342228876754,0.6689565536323837,0.49055384100852656,0.4785914076114666
999182cf41,cifar10,resnet34,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,np=0.03,ns=0.0,3,15,True,True,0.417 0.425 0.426,0.501 0.504 0.501,0.6316810447806835,0.5479151007410274,0.4544124302863809,0.48688158162424733
999f89ae27,cifar10,resnet34,drp=0,adam,lr=0.0001,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.113 0.103 0.103,0.682 0.694 0.663,,,,
9aa62dafbe,cifar10,resnet18,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,np=0.07,ns=0.2,3,15,True,True,0.593 0.601 0.606,0.681 0.683 0.68,0.7011936565301279,0.630789838501536,0.46587122101057404,0.4467873280278294
a326360664,cifar10,xception,drp=0.3,adam,lr=0.001,none,kaiming_normal,intermediate,np=0.0,ns=0.0,3,15,True,False,0.613 0.569 0.585,0.645 0.589 0.588,,,,
a6392d71f6,cifar10,xception,drp=0,adam,lr=0.001,none,kaiming_normal,intermediate,np=0.0,ns=0.0,3,15,True,False,0.54 0.523 0.53,0.556 0.548 0.544,,,,
a7a936cbca,cifar10,xception,drp=0,sgd,lr=0.01,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,True,0.307 0.383 0.312,0.371 0.417 0.356,,,,
a8db092130,cifar10,resnet18,drp=0,adam,lr=0.0001,none,pretrain,intermediate,np=0.13,ns=0.6,3,15,True,True,0.644 0.65 0.649,0.747 0.75 0.742,0.7275046318051838,0.6513059656233886,0.5154381222008031,0.44465323584810384
a92ba05a3b,cifar10,resnet18,drp=0,adam,lr=0.0001,none,pretrain,intermediate,np=0.03,ns=0.2,3,15,True,True,0.434 0.442 0.444,0.529 0.534 0.532,0.6435426314684991,0.552160968599205,0.46195164349695594,0.4717015784353561
ab02c546ff,cifar10,resnet18,drp=0.3,sgd,lr=0.1,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,False,1.123 1.153 1.112,1.15 1.13 1.13,,,,
ab89cb4d51,cifar10,xception,drp=0,adam,lr=0.0001,none,kaiming_normal,intermediate,np=0.0,ns=0.0,3,15,True,False,0.853 0.847 0.855,0.845 0.849 0.87,,,,
abab9ec838,cifar10,resnet18,drp=0.3,sgd,lr=0.1,none,pretrain,default,np=0.0,ns=0.0,3,15,True,False,0.865 0.898 0.862,0.891 0.967 0.932,,,,
aca784d1e0,cifar10,resnet34,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,np=0.13,ns=0.2,3,15,True,True,0.752 0.752 0.748,0.84 0.838 0.83,0.7276226118479222,0.6600647904509283,0.4911385287356322,0.44773567285587973
ad5d103cd3,cifar10,resnet18,drp=0.3,sgd,lr=0.01,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.181 0.182 0.186,0.51 0.485 0.502,,,,
ae8c7beab8,cifar10,resnet34,drp=0.3,sgd,lr=0.1,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.825 0.785 0.787,0.886 0.832 0.855,,,,
af6c6d2315,cifar10,resnet34,drp=0.3,adam,lr=0.001,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.123 0.132 0.124,0.462 0.524 0.462,,,,
afe6e11618,cifar10,resnet34,drp=0,adam,lr=0.0001,none,kaiming_normal,intermediate,np=0.0,ns=0.0,3,15,True,False,0.788 0.805 0.778,0.801 0.8 0.781,,,,
b5954718f3,cifar10,resnet34,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,np=0.13,ns=0.6,3,15,True,True,0.65 0.64 0.648,0.728 0.722 0.721,0.7229184091268359,0.662259033445555,0.5067040451452356,0.44649920548107186
b657e0f995,cifar10,xception,drp=0.3,adam,lr=0.0001,none,pretrain,default,np=0.0,ns=0.0,3,15,True,False,0.047 0.051 0.059,0.38 0.337 0.418,,,,
b6d2e004fb,cifar10,xception,drp=0.3,adam,lr=0.001,none,pretrain,intermediate,np=0.13,ns=0.6,3,15,True,True,0.714 0.692 0.703,0.743 0.723 0.728,0.6986973977065201,0.6689337256044554,0.5086480487729914,0.4671309768886102
b809ba47ee,cifar10,resnet34,drp=0,adam,lr=0.001,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,False,0.55 0.48 0.534,0.544 0.492 0.631,,,,
b8eb25bdbd,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,intermediate,np=0.0,ns=0.0,3,15,True,False,0.575 0.584 0.582,0.605 0.6 0.604,,,,
b92bb0785f,cifar10,xception,drp=0,sgd,lr=0.1,none,pretrain,default,np=0.0,ns=0.0,3,15,True,False,2.306 2.306 2.307,2.307 2.307 2.306,,,,
bbce9add0e,cifar10,resnet18,drp=0,sgd,lr=0.01,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,False,0.462 0.472 0.461,0.495 0.515 0.482,,,,
bedc697d7b,cifar10,resnet18,drp=0.3,adam,lr=0.0001,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.088 0.093 0.093,0.688 0.649 0.663,,,,
