index,dataset,model,dropout,optim,lr,lr_scheduler,init,transform,noise_type,np,ns,folds,done,epochs,valid,train_loss,validation_loss,loss-mean-train-auc,loss-std-train-auc,loss-mean-validation-auc,loss-std-validation-auc
9fed2f4fc52,cifar10,xception,drp=0,adam,lr=0.001,reduceLR,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.08730982343817806,0.1031873283576998,0.2383278115855594,0.26622206572141743
a3bc9886e61,cifar10,xception,drp=0,sgd,lr=0.1,reduceLR,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.25570591105537466,0.4653986540409901,0.39177597696749955,0.4989666459946959
a5c43edf406,cifar10,xception,drp=0,adam,lr=0.0001,none,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.14234806363478142,0.14213619138765363,0.2037385856406863,0.2399517934797719
b502cb8cd8f,cifar10,xception,drp=0.3,sgd,lr=0.1,none,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.2667403871259876,0.4387982806143145,0.39550542611752904,0.5097881442168916
b7d04f7ebd9,cifar10,xception,drp=0,adam,lr=0.001,reduceLR,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.13625442692716355,0.30517484075593426,0.18164557267139594,0.39094737440101757
b9205aadac9,cifar10,xception,drp=0.3,sgd,lr=0.1,reduceLR,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.5648115803962275,0.4935561804839289,0.5653697338472575,0.5043162578344833
b9e15ac475b,cifar10,xception,drp=0,adam,lr=0.0001,none,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.18123183298881,0.20985827677869404,0.23257219447220767,0.2626817287919685
b9e4df7cd8b,cifar10,xception,drp=0.3,adam,lr=0.001,reduceLR,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.08801789226406954,0.16269189056382116,0.18851960788927064,0.2762787814515707
bb52135281d,cifar10,xception,drp=0,adam,lr=0.001,reduceLR,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.09195273125366574,0.15022002801664067,0.19791092364330135,0.26834301059528753
cc983bf84ee,cifar10,xception,drp=0.3,sgd,lr=0.1,reduceLR,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.1641847763051231,0.2176202090322118,0.23020544131162674,0.34413603820027494
cd491137749,cifar10,xception,drp=0.3,sgd,lr=0.01,reduceLR,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.13818132837470143,0.1341429676643575,0.24885945906967308,0.2804903287639195
ce39065ff55,cifar10,xception,drp=0.3,adam,lr=0.001,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.18399150180768772,0.203473357331324,0.2768974693732083,0.3123086026767542
cebb8d03f83,cifar10,xception,drp=0.3,sgd,lr=0.01,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.2671471380004218,0.31210925204423157,0.2974909501934443,0.35527769599590464
d14e09a111c,cifar10,xception,drp=0,adam,lr=0.001,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.17884558460548988,0.2003633409038008,0.27474875566694856,0.30760019078486256
da84b5aa663,cifar10,xception,drp=0.3,adam,lr=0.001,reduceLR,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.16685171701584273,0.40892995697590184,0.18950056823346279,0.4542506322379375
deafd6521ef,cifar10,xception,drp=0,adam,lr=0.0001,reduceLR,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.1896630340229629,0.15248054105330308,0.2340474097928988,0.26246089813439155
e08b74f09e8,cifar10,xception,drp=0,sgd,lr=0.01,none,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.11469617458161804,0.16023687170028716,0.1652737663753211,0.23355062441344832
e6cadb4690a,cifar10,xception,drp=0,sgd,lr=0.1,none,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.2664769708187388,0.5133409011608272,0.3870871434984441,0.5081640951226005
ed191310db9,cifar10,xception,drp=0,sgd,lr=0.1,none,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.1708375256648899,0.6267167630024324,0.18052290016191075,0.5918198150986324
ef9febd3d70,cifar10,xception,drp=0.3,sgd,lr=0.1,none,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.19407051516384888,0.590695588187334,0.1991834723276021,0.5972881142768565
f03895595a1,cifar10,xception,drp=0.3,sgd,lr=0.1,reduceLR,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.17173663471361073,0.6240525182948573,0.18062121787658852,0.650469347507447
fa74b30e7e5,cifar10,xception,drp=0.3,adam,lr=0.001,none,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.07995316125736729,0.12844635781983177,0.1658373862327273,0.22521867389506123
fad82ed61e9,cifar10,xception,drp=0,sgd,lr=0.1,none,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.5645365592754428,0.5092121387450386,0.5649200277227203,0.5169763582012241
fb010de93b0,cifar10,xception,drp=0.3,sgd,lr=0.01,reduceLR,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.283845596677504,0.3155716624827871,0.3474160060260294,0.3860622183029715
