index,dataset,model,dropout,optim,lr,lr_scheduler,init,transform,noise_type,np,ns,folds,done,epochs,valid,test_acc,train_loss,validation_loss
63c673e383f,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,intermediate,asym,np=0.1,ns=0.2,3,False,100,False,,,
301e9befb5d,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,default,asym,np=0.1,ns=0.6,3,False,100,False,,,
1747f668083,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,intermediate,asym,np=0.1,ns=0.6,3,False,100,False,,,
d68614ced8a,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,default,asym,np=0.1,ns=0.6,3,False,100,False,,,
b396f411cac,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,intermediate,asym,np=0.1,ns=0.6,3,False,100,False,,,
1c74e6382af,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,default,asym,np=0.2,ns=0.2,3,False,100,False,,,
bb4ab85ad9b,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,intermediate,asym,np=0.2,ns=0.2,3,False,100,False,,,
3e78c4ab439,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,default,asym,np=0.2,ns=0.2,3,False,100,False,,,
c08b5233b18,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,intermediate,asym,np=0.2,ns=0.2,3,False,100,False,,,
9ea1bc9a6eb,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,default,asym,np=0.2,ns=0.6,3,False,100,False,,,
b29320aab4d,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,intermediate,asym,np=0.2,ns=0.6,3,False,100,False,,,
3e6ff9a12a0,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,default,asym,np=0.2,ns=0.6,3,False,100,False,,,
f52d4083a5b,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,intermediate,asym,np=0.2,ns=0.6,3,False,100,False,,,
206c38508db,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,default,asym,np=0.3,ns=0.2,3,False,100,False,,,
732ce5350bf,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,intermediate,asym,np=0.3,ns=0.2,3,False,100,False,,,
a61a1f5c51e,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,default,asym,np=0.3,ns=0.2,3,False,100,False,,,
08064d0bd0d,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,intermediate,asym,np=0.3,ns=0.2,3,False,100,False,,,
98e30c311d2,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,default,asym,np=0.3,ns=0.6,3,False,100,False,,,
3e76b6a23a8,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,intermediate,asym,np=0.3,ns=0.6,3,False,100,False,,,
ce24b2e0652,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,default,asym,np=0.3,ns=0.6,3,False,100,False,,,
e9cc67189ce,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,intermediate,asym,np=0.3,ns=0.6,3,False,100,False,,,
77e7d5c016a,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,default,asym,np=0.4,ns=0.2,3,False,100,False,,,
b139e401af8,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,intermediate,asym,np=0.4,ns=0.2,3,False,100,False,,,
e81df2b18e8,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,default,asym,np=0.4,ns=0.2,3,False,100,False,,,
